lugar,texto,calificacion,categoria,fuente,idioma_comentario,comentarios_espanol,emojis
Playa Manuel Antonio,Merveilleux 😊,5.0,parque,google_maps,unknown,Merveilleux,😊
Playa Manuel Antonio,The views from this beach are amazing. I was thoroughly blown away and just at awe because of how beautiful it was. I only swam for a little bit because I was hungry and enjoying sitting in the shade on the phone with friends. Only downside is that you have to pay to enter the park to actually get to the beach.,5.0,parque,google_maps,en,Las vistas desde esta playa son increíbles. Me quedé completamente impresionado y asombrado por lo hermoso que era. Solo nadé un poco porque tenía hambre y disfrutaba sentado a la sombra hablando por teléfono con amigos. El único inconveniente es que tienes que pagar para entrar al parque y llegar a la playa.,
Playa Manuel Antonio,"This beach is highly recommended. It’s very relaxing to be there. Don’t place your belongings too close to the shoreline, as waves can sometimes reach them. There is also a short trail where you can see some animals and monkeys. Don’t bring food; it’s not allowed in the park.",5.0,parque,google_maps,en,"Esta playa es muy recomendable. Es muy relajante estar allí. No coloques tus pertenencias demasiado cerca de la costa, ya que a veces las olas pueden alcanzarlas. También hay un sendero corto donde podrás ver algunos animales y monos. No traigas comida; No está permitido en el parque.",
Playa Manuel Antonio,"Manuel Antonio csodás hely! Gyönyörű az óceánpart és a nemzeti park is nagyon szép! Rengeteg állat figyelhető meg a túravezető segítségével! Egy  fantasztikus szálláson laktunk, a Jungle beach hotelben! Aki Costa Ricara utazik, ne hagyja ki Manuel Antoniot!",5.0,parque,google_maps,hu,"¡Manuel Antonio es un lugar maravilloso! ¡La costa del océano es hermosa y el parque nacional también es muy hermoso! ¡Se pueden observar muchos animales con la ayuda del guía turístico! Nos alojamos en un alojamiento fantástico, ¡el hotel Jungle Beach! Si viajas a Costa Rica, ¡no te pierdas Manuel Antonio!",
Playa Manuel Antonio,"Increíble playa para recordar y recordar, hermoso lugar. No sé lo pierdan",5.0,parque,google_maps,es,"Increíble playa para recordar y recordar, hermoso lugar. No sé lo pierdan",
Playa Manuel Antonio,"Top 5 besch of our lifetime, after hawaii",5.0,parque,google_maps,en,"Los 5 mejores besch de nuestra vida, después de Hawaii.",
Playa Manuel Antonio,"Um an den Strand zu kommen, muss man ein Ticket für den Nationalpark online kaufen. Wir haben 5 Tage im voraus buchen müssen auf SINAC, weil alles andere ausverkauft war. Ein Ticket kostet 16 Dollar.
Der Strand hat uns an einige Strände auf Mallorca erinnert. Wer die Insel kennt, weiß was ich meine. Wir sind hier direkt wieder weg, nachdem wir viele Tiere im Park gesehen haben und zu einem unberührten Strand an der Pazifikküste gefahren (ohne Eintrittsgebühren).
Der Strand ist bestimmt ganz toll, wenn nicht so viele Menschen da wären.",1.0,parque,google_maps,de,"Para llegar a la playa hay que comprar online una entrada para el parque nacional. Tuvimos que reservar con 5 días de antelación en SINAC porque todo lo demás estaba agotado. Un billete cuesta 16 dólares.
La playa nos recordó a algunas playas de Mallorca. Cualquiera que conozca la isla sabe a qué me refiero. Salimos de aquí inmediatamente después de ver muchos animales en el parque y nos dirigimos a una playa prístina en la costa del Pacífico (sin costo de entrada).
La playa definitivamente sería genial si no hubiera tanta gente allí.",
Playa Manuel Antonio,"Plage de Manuel Antonio absolument magnifique ! Un vrai décor de carte postale avec du sable blanc, une eau turquoise et la jungle tout autour.
L’ambiance est unique, on se retrouve entre mer et nature, avec parfois des animaux à proximité comme des singes ou des paresseux.
L’eau est calme et agréable, parfaite pour se baigner et se détendre. C’est un endroit idéal pour profiter d’un moment exceptionnel au cœur du parc.
Je recommande vivement de venir tôt pour profiter du calme et de la beauté du lieu avant l’arrivée du monde.
Un véritable petit paradis !",5.0,parque,google_maps,fr,"¡Absolutamente hermosa playa de Manuel Antonio! Un auténtico entorno de postal con arena blanca, agua turquesa y selva a su alrededor.
El ambiente es único, nos encontramos entre el mar y la naturaleza, a veces con animales cerca como monos o perezosos.
El agua es tranquila y agradable, perfecta para nadar y relajarse. Es un lugar ideal para disfrutar de un momento excepcional en el corazón del parque.
Recomiendo ampliamente llegar temprano para disfrutar de la calma y la belleza del lugar antes de que lleguen todos.
¡Un verdadero pequeño paraíso!",
Playa Manuel Antonio,Best on the trip.,5.0,parque,google_maps,en,Lo mejor del viaje.,
Playa Manuel Antonio,"Si vas al Parque Nacional Manuel Antonio, no olvides visitar Costa Rica, y si lo haces con Willy Tours, pregunta por Walbert, mejor guía no encontraras",5.0,parque,google_maps,es,"Si vas al Parque Nacional Manuel Antonio, no olvides visitar Costa Rica, y si lo haces con Willy Tours, pregunta por Walbert, mejor guía no encontraras",
Playa Manuel Antonio,"Muy bonita playa, agua calentita y bien clarita. Está rodeada de árboles y palmeras, lo que ofrece muchas zonas de sombra natural.

Queda dentro de la reserva natural del Manuel Antonio, porque que si visitas la reserva lleva traje de baño.

En el lugar hay baños y duchas.

Tiene muchos menos olas que la que se se encuentra fuera de la reserva.",5.0,parque,google_maps,es,"Muy bonita playa, agua calentita y bien clarita. Está rodeada de árboles y palmeras, lo que ofrece muchas zonas de sombra natural.

Queda dentro de la reserva natural del Manuel Antonio, porque que si visitas la reserva lleva traje de baño.

En el lugar hay baños y duchas.

Tiene muchos menos olas que la que se se encuentra fuera de la reserva.",
Playa Manuel Antonio,"great beach

the sand is very fine and the water is very warm",5.0,parque,google_maps,en,"gran playa

la arena es muy fina y el agua muy cálida",
Playa Manuel Antonio,"Definitely worth it, it’s a great public beach with Lots of monkeys, birds and some HUGE waves. I would not take young kids if you are wanting to swim in the ocean because of how high the waves get. They had parasailing, jet skis , lots of stuff to do. There is even a possibility of croc airings. Lifeguards on site too!",5.0,parque,google_maps,en,"Definitivamente vale la pena, es una gran playa pública con muchos monos, pájaros y olas ENORMES. No llevaría a niños pequeños si quieren nadar en el océano debido a lo altas que llegan las olas. Tenían paravelismo, motos acuáticas y muchas cosas que hacer. Incluso existe la posibilidad de que se produzcan emisiones de cocodrilos. ¡Socorristas en el sitio también!",
Playa Manuel Antonio,"Hermosa, muy tranquila y limpia",5.0,parque,google_maps,es,"Hermosa, muy tranquila y limpia",
Playa Manuel Antonio,"MUY BONITO EL PARQUE!!! la playa es muy tranquila y el agua calientita, ambiente familiar",5.0,parque,google_maps,es,"MUY BONITO EL PARQUE!!! la playa es muy tranquila y el agua calientita, ambiente familiar",
Playa Manuel Antonio,Highly recommended. Waves will be strong so swimming is unrealistic but really clean and it has amazing views.,5.0,parque,google_maps,en,"Altamente recomendado. Las olas serán fuertes, por lo que nadar no es realista, pero está realmente limpio y tiene vistas increíbles.",
Playa Manuel Antonio,Es una playa muy bonita y difícil de superar.,5.0,parque,google_maps,es,Es una playa muy bonita y difícil de superar.,
Playa Manuel Antonio,Beautiful beaches and surrounded by comfortable places,5.0,parque,google_maps,en,Hermosas playas y rodeadas de lugares confortables.,
Playa Manuel Antonio,"Un lugar muy hermoso, vale la pena ir con un guía para ver las diferentes especies en la zona. ❤️",5.0,parque,google_maps,es,"Un lugar muy hermoso, vale la pena ir con un guía para ver las diferentes especies en la zona. ️",❤
Playa Manuel Antonio,"Playa Manuel Antonio, ideal para refrescarse luego del trekking por el parque, cuidado con los monos que te abren las mochilas, la playa es muy bonita rodeada de mucha naturaleza, agua calentita, un poco sucia por las hojas y con algunas rocas.",5.0,parque,google_maps,es,"Playa Manuel Antonio, ideal para refrescarse luego del trekking por el parque, cuidado con los monos que te abren las mochilas, la playa es muy bonita rodeada de mucha naturaleza, agua calentita, un poco sucia por las hojas y con algunas rocas.",
Playa Manuel Antonio,"Spiaggia bellissima
Con tramonto meraviglioso 🤩",5.0,parque,google_maps,it,"Hermosa playa
Con maravilloso atardecer",🤩
Playa Manuel Antonio,"Hermosa playa para pasar todo el día, recomiendo ir temprano y llevar toalla para aprovechar sentarse a la sombra.
Cuidado con los monos, andan a la vuelta y roban las pertenencias.",5.0,parque,google_maps,es,"Hermosa playa para pasar todo el día, recomiendo ir temprano y llevar toalla para aprovechar sentarse a la sombra.
Cuidado con los monos, andan a la vuelta y roban las pertenencias.",
Playa Manuel Antonio,"Volvería a ir de nuevo de fijo, increíble lugar para los amantes de la naturaleza y animalitos 😍",5.0,parque,google_maps,es,"Volvería a ir de nuevo de fijo, increíble lugar para los amantes de la naturaleza y animalitos",😍
Playa Manuel Antonio,Pięknie,5.0,parque,google_maps,unknown,Pięknie,
Playa Manuel Antonio,Jolie plage mais que de monde.,3.0,parque,google_maps,fr,Bonita playa pero muy concurrida.,
Playa Manuel Antonio,"Stellar beach with warm and calm waters. A little more secluded from than the other beaches, keep in mind you can only access via national park tickets",5.0,parque,google_maps,en,"Playa estelar de aguas cálidas y tranquilas. Un poco más aislada que las otras playas, tenga en cuenta que solo se puede acceder mediante entradas al parque nacional.",
Playa Manuel Antonio,"Zusammenfassung: Touristische Hochburg. Strände super schön, aber durch die Menge an Touristen ungenießbar.",3.0,parque,google_maps,de,"Resumen: Baluarte turístico. Playas super bonitas, pero poco disfrutables por la cantidad de turistas.",
Playa Manuel Antonio,"Me encantó esta playa, unas de las mejores playas que he visitado",5.0,parque,google_maps,es,"Me encantó esta playa, unas de las mejores playas que he visitado",
Playa Manuel Antonio,"Playa con una pendiente muy suave, rodeada de selva exhuberante, si tienes suerte puedes ver monos o tucanes, el agua tiene una temperatura fantástica!",5.0,parque,google_maps,es,"Playa con una pendiente muy suave, rodeada de selva exhuberante, si tienes suerte puedes ver monos o tucanes, el agua tiene una temperatura fantástica!",
Playa Manuel Antonio,"Herrlich ❣️Warmes Wasser, viel Platz, Ruhe",5.0,parque,google_maps,de,"Maravilloso ️Agua cálida, mucho espacio, paz y tranquilidad.",❣
Playa Manuel Antonio,Yf a noite toda e o irmão dela a noite toda e 👀,1.0,parque,google_maps,pt,Yf toda la noche y su hermano toda la noche y,👀
Playa Manuel Antonio,"Gyönyörű, hosszan elterülő strand a Nemzeti Parkon belül, a víz nagyon kellemes langyos, a part homokos, van kitéve ivóvíz töltő is!",5.0,parque,google_maps,hu,"Hermosa y larga playa dentro del Parque Nacional, el agua es muy agradablemente cálida, la orilla es de arena, ¡también hay un dispensador de agua potable!",
Playa Manuel Antonio,Todo es muy bonito,4.0,parque,google_maps,es,Todo es muy bonito,
Playa Manuel Antonio,Excelente lugar,5.0,parque,google_maps,unknown,Excelente lugar,
Playa Manuel Antonio,A paradise.,5.0,parque,google_maps,unknown,A paradise.,
Playa Manuel Antonio,Le paradis sur terre. Prenez un guide vous serez pas déçu.,5.0,parque,google_maps,fr,"El cielo en la tierra. Tome una guía, no se sentirá decepcionado.",
Playa Manuel Antonio,"Me encantó, las playas son hermosas y la gente es muy amable.",5.0,parque,google_maps,es,"Me encantó, las playas son hermosas y la gente es muy amable.",
Playa Manuel Antonio,Genial,5.0,parque,google_maps,unknown,Genial,
Playa Manuel Antonio,"חוף מהממם
עשינו מצנח..היה פגז
שקיעה מהממת",5.0,parque,google_maps,he,"Impresionante playa
Hicimos un paracaídas... había un proyectil.
Una puesta de sol impresionante",
Playa Manuel Antonio,"Una playa para pasar el día sin dudas. Los monitos carablancas abren las mochilas y las revuelven.  No nos robaron nada, pero ojo puede pasar. Les ha quedado el reflejo de buscar comida, porque antiguamente se podía ingresar con alimentos al parque.
Es una playa para disfrutar, nadar de lado a lado, hacer snorkel. En ambos extremos hay piedras y cuando la marea esta baja se pueden observar peces de distintos colores.",5.0,parque,google_maps,es,"Una playa para pasar el día sin dudas. Los monitos carablancas abren las mochilas y las revuelven.  No nos robaron nada, pero ojo puede pasar. Les ha quedado el reflejo de buscar comida, porque antiguamente se podía ingresar con alimentos al parque.
Es una playa para disfrutar, nadar de lado a lado, hacer snorkel. En ambos extremos hay piedras y cuando la marea esta baja se pueden observar peces de distintos colores.",
Playa Manuel Antonio,Muy lindo lugar y limpio pero los cuida carros se abusan con las tarifas,5.0,parque,google_maps,es,Muy lindo lugar y limpio pero los cuida carros se abusan con las tarifas,
Playa Manuel Antonio,Gorgeous beach located inside the national park. Only wished I had more time to enjoy it!,5.0,parque,google_maps,en,Hermosa playa ubicada dentro del parque nacional. ¡Ojalá tuviera más tiempo para disfrutarlo!,
Playa Manuel Antonio,"Restrooms not so far, clean water",5.0,parque,google_maps,en,"Baños no hasta ahora, agua limpia.",
Playa Manuel Antonio,"Just in case you can't bring food in as people used to, instead of enabling a caged area where people can eat their snacks safely they make you toss the food away and buy at the very overpriced cafeteria inside, the line is super long and slow",3.0,parque,google_maps,en,"En caso de que no puedas traer comida como solía hacerlo la gente, en lugar de habilitar un área enjaulada donde la gente pueda comer sus bocadillos de manera segura, te hacen tirar la comida y comprarla en la cafetería carísima del interior, la fila es súper larga y lenta.",
Playa Manuel Antonio,Es necesario contratar guía si quieres ver animales.,5.0,parque,google_maps,es,Es necesario contratar guía si quieres ver animales.,
Playa Manuel Antonio,La playa Manuel Antonio es muy hermosa 😍😍❤️. Yo fui pero ase tres años  y la verdad esa playa es muy hermosa  le doy cinco estrellas  uno puede caminar por cualquier lado es muy hermosa,5.0,parque,google_maps,es,La playa Manuel Antonio es muy hermosa ️. Yo fui pero ase tres años  y la verdad esa playa es muy hermosa  le doy cinco estrellas  uno puede caminar por cualquier lado es muy hermosa,😍😍❤
Playa Manuel Antonio,"A praia e o parque são lindos, vale demais a visita.
Leve bastante água. O local é muito úmido e, apesar de haver um restaurante dentro do parque, os preços são altíssimos.",5.0,parque,google_maps,pt,"La playa y el parque son hermosos, vale la pena visitarlos.
Toma mucha agua. El lugar es muy húmedo y, a pesar de haber un restaurante dentro del parque, los precios son muy elevados.",
Playa Manuel Antonio,"A praia de Manuel Antônio, dentro do parque, é uma das mais bonitas que já vi.
Preservada, com vegetação exuberante, areia clara, mar cristalino e com temperatura ótima, sem lixo, sem tumulto, sem música, só a natureza.
Dei sorte e peguei um dia de sol lindo!
O parque recebe muitos turistas, vá cedo para aproveitar a praia.",5.0,parque,google_maps,pt,"La playa Manuel Antônio, dentro del parque, es una de las más hermosas que he visto en mi vida.
Preservado, con exuberante vegetación, arena clara, mar cristalino y temperatura óptima, sin basura, sin bullicio, sin música, solo naturaleza.
¡Tuve suerte y cogí un hermoso día soleado!
El parque recibe muchos turistas, ve temprano para disfrutar de la playa.",
Playa Manuel Antonio,"La entrada al parque cuesta USD18 para mayores. Pagamos guía privada (Usd115 por persona) y no vale para nada la pena, es un paseo de 20 minutos que te lo extienden a dos horas parando a ver “bichitos” con binoculares. No paguen los guías no vale la pena, es un paseo que puede hacerse solo",3.0,parque,google_maps,es,"La entrada al parque cuesta USD18 para mayores. Pagamos guía privada (Usd115 por persona) y no vale para nada la pena, es un paseo de 20 minutos que te lo extienden a dos horas parando a ver “bichitos” con binoculares. No paguen los guías no vale la pena, es un paseo que puede hacerse solo",
Playa Manuel Antonio,This is a paradise beach 🇨🇷,5.0,parque,google_maps,en,Esta es una playa paradisíaca,🇨🇷
Playa Manuel Antonio,Yo cuando fui fue hermoso recomiendo el hotel el faro,5.0,parque,google_maps,es,Yo cuando fui fue hermoso recomiendo el hotel el faro,
Playa Manuel Antonio,Breathtaking,5.0,parque,google_maps,unknown,Breathtaking,
Playa Manuel Antonio,"Manuel Antonio Beach is absolutely spectacular! With its soft white sand, crystal-clear turquoise water, and lush rainforest reaching right down to the shore, it feels like a true tropical paradise. The beach is clean, well maintained, and perfect for swimming, relaxing, or simply enjoying the stunning scenery. Wildlife sightings are an added bonus — monkeys, sloths, and colorful birds make the experience even more special. The atmosphere is peaceful yet vibrant, ideal for couples, families, or solo travelers. It’s one of those rare places where nature, beauty, and serenity come together perfectly. An unforgettable destination and a must-visit when in Costa Rica. 🌴🌊✨",5.0,parque,google_maps,en,"¡La Playa Manuel Antonio es absolutamente espectacular! Con su suave arena blanca, aguas cristalinas de color turquesa y una exuberante selva tropical que llega hasta la orilla, se siente como un verdadero paraíso tropical. La playa está limpia, bien mantenida y es perfecta para nadar, relajarse o simplemente disfrutar del impresionante paisaje. Los avistamientos de vida silvestre son una ventaja adicional: monos, perezosos y pájaros coloridos hacen que la experiencia sea aún más especial. El ambiente es tranquilo pero vibrante, ideal para parejas, familias o personas que viajan solas. Es uno de esos raros lugares donde la naturaleza, la belleza y la serenidad se combinan a la perfección. Un destino inolvidable y una visita obligada cuando esté en Costa Rica.",🌴🌊✨
Playa Manuel Antonio,Una de las playas más bonita de CR,5.0,parque,google_maps,es,Una de las playas más bonita de CR,
Playa Manuel Antonio,Muy linda esa plya,5.0,parque,google_maps,es,Muy linda esa plya,
Playa Manuel Antonio,Cool and relaxing vibes. Reasonably priced cabanas and food.,5.0,parque,google_maps,en,Vibraciones frescas y relajantes. Cabañas y comida a precios razonables.,
Playa Manuel Antonio,A wonderful natural beach. With a pristine walk through nature to get there. No food or disposable water bottles allowed!!!,5.0,parque,google_maps,en,Una maravillosa playa natural. Con un prístino paseo por la naturaleza para llegar allí. ¡¡¡No se permiten alimentos ni botellas de agua desechables!!!,
Playa Manuel Antonio,Nice for a swim,5.0,parque,google_maps,en,Agradable para nadar,
Playa Manuel Antonio,1.983 Hectareas,3.0,parque,google_maps,unknown,1.983 Hectareas,
Playa Manuel Antonio,Bien aménagé.,5.0,parque,google_maps,unknown,Bien aménagé.,
Playa Manuel Antonio,Найкращий пляж,5.0,parque,google_maps,unknown,Найкращий пляж,
Playa Manuel Antonio,It’s nice if there weren’t 1000 people,1.0,parque,google_maps,en,Sería bueno si no hubiera 1000 personas.,
Playa Manuel Antonio,"Muy bonitas playas en costa rica, mucha gente se queja de lo invasivos que son los locales al querer vender cosas pero creo que basta con decirles que no un par de veces, creo que conviene no ir en auto porque si alcancé a escuchar varios locales que cobran hasta 3000 colones por parkin. Eso sí la comida es cara como todo en costa rica 😝mejor llevar hielera con bebidas",4.0,parque,google_maps,es,"Muy bonitas playas en costa rica, mucha gente se queja de lo invasivos que son los locales al querer vender cosas pero creo que basta con decirles que no un par de veces, creo que conviene no ir en auto porque si alcancé a escuchar varios locales que cobran hasta 3000 colones por parkin. Eso sí la comida es cara como todo en costa rica mejor llevar hielera con bebidas",😝
Playa Manuel Antonio,Hermosa playa,5.0,parque,google_maps,unknown,Hermosa playa,
Playa Manuel Antonio,Fantastisk strand med mindre vågor vilket var bra för våra barn. En hel del turister. Akta er för aporna som stjäl all mat om ni har med er någon (förbjudet att ta med in i parken).,5.0,parque,google_maps,sv,Fantástica playa con olas más pequeñas que era buena para nuestros hijos. Muchos turistas. Cuidado con los monos que roban toda la comida si la llevas contigo (prohibido traerla al parque).,
Playa Manuel Antonio,Hermoso,5.0,parque,google_maps,unknown,Hermoso,
Playa Manuel Antonio,Excellent beach,5.0,parque,google_maps,unknown,Excellent beach,
Playa Manuel Antonio,"Lo más bello de la naturaleza, para el mundo",5.0,parque,google_maps,es,"Lo más bello de la naturaleza, para el mundo",
Playa Manuel Antonio,"Sehr schön, aber nur !!! In der Nebensaison",5.0,parque,google_maps,de,"Muy bonito, pero único!!! En temporada baja",
Playa Manuel Antonio,"Es bueno volver de donde es uno, se ve que hay modificaciones en el lugar.",5.0,parque,google_maps,es,"Es bueno volver de donde es uno, se ve que hay modificaciones en el lugar.",
Playa Manuel Antonio,For me one of the best beaches in whole Costa Rica for relaxing and especially swimming. It is part ot the national park of Manuel Antonio so you really need to book your tickets in advance. If there are sold out there is another possibily to enter. You can go directly to the main entrance of the national park and book a guided tour. I would generally recommend a official tour guide to see the animals in the park. Without it is really hard to see. After the tour you can stay all day long at the beach. So dont forget your swim things. Attention!!! On the way (street) to the parking slot you will be stopped by many people. They act (show an fact id) like they are tour guides from the national park but they are not offically. They try to sell you tours 2 to 3 times more than the offically prices. Be aware of this and dont buy tickets there. You can easily do this at the main entrance (also when online is sold out) or online.,5.0,parque,google_maps,en,"Para mí una de las mejores playas de toda Costa Rica para relajarse y sobre todo nadar. Es parte del parque nacional de Manuel Antonio, por lo que es necesario reservar las entradas con antelación. Si están agotados hay otra posibilidad de entrar. Puedes ir directamente a la entrada principal del parque nacional y reservar una visita guiada. Generalmente recomendaría un guía turístico oficial para ver los animales en el parque. Sin él es realmente difícil de ver. Después del recorrido podrás quedarte todo el día en la playa. Así que no olvides tus cosas para nadar. ¡¡¡Atención!!! En el camino (calle) hacia el lugar de estacionamiento, mucha gente lo detendrá. Actúan (muestran una identificación de hecho) como si fueran guías turísticos del parque nacional, pero no lo son oficialmente. Intentan venderte tours 2 o 3 veces más que los precios oficiales. Tenga en cuenta esto y no compre boletos allí. Puedes hacerlo fácilmente en la entrada principal (también cuando las entradas en línea estén agotadas) o en línea.",
Playa Manuel Antonio,"Me encantó, para mí es la mejor playa del mundo. Pura Vida",5.0,parque,google_maps,es,"Me encantó, para mí es la mejor playa del mundo. Pura Vida",
Playa Manuel Antonio,Magnifique plage au sein du parc national (payant),5.0,parque,google_maps,fr,Magnífica playa dentro del parque nacional (de pago),
Playa Manuel Antonio,This was probably our favorite beach in Costa Rica and the best place I've ever been for surfing,4.0,parque,google_maps,en,Esta fue probablemente nuestra playa favorita en Costa Rica y el mejor lugar en el que he estado para surfear.,
Playa Manuel Antonio,"Beautiful beach, have awesome tiny islands offshore. Soft sand. Great restaurants.",5.0,parque,google_maps,en,"Hermosa playa, tiene pequeñas islas impresionantes en alta mar. Arena suave. Grandes restaurantes.",
Playa Manuel Antonio,"Fue muy bonito, recomendable llevar agua en un termo y no en botellas desechables, no llevar comida porque la tienes que botar y llevar buenos tenis porque caminarán bastante",5.0,parque,google_maps,es,"Fue muy bonito, recomendable llevar agua en un termo y no en botellas desechables, no llevar comida porque la tienes que botar y llevar buenos tenis porque caminarán bastante",
Playa Manuel Antonio,Paradies,5.0,parque,google_maps,unknown,Paradies,
Playa Manuel Antonio,Una maravilla de playa donde podrás ver todo tipo de animales y disfrutar de una bonita playa.,5.0,parque,google_maps,es,Una maravilla de playa donde podrás ver todo tipo de animales y disfrutar de una bonita playa.,
Playa Manuel Antonio,Esta playa y pan de azúcar. Entre las mejores de CR.,5.0,parque,google_maps,es,Esta playa y pan de azúcar. Entre las mejores de CR.,
Playa Manuel Antonio,"TOURIST SCAM EVERYWHERE!!
THEY make the entrace to the park almost impossible, people want to sell you tours+tickets for crazy prices outside and block you the road. You can only buy a ticket online (which is very stupid, I don't understand why they don't sell the tickets in the park itself and this whole system of scams outside the park wouldn't be operating) the problem is the tickets are all sold out because tour guides and scammers buy all of them 2-3 prior the date and they resell it outside. Only way we could get in is to buy the tour because they would not let us in.
And then is the process to get in the park; is usseles and completely unnecessary, all the ""no plastic bottles"" is ridiculos because when I got in the beach I saw two plastic bottles there. Also, you do not have to get a guide ( don't  let the scammers make you), jut bring binoculars and look where the people gather, most of them are nice and will tell you where to look.",1.0,parque,google_maps,en,"ESTAFA TURÍSTICA POR TODAS PARTES!!
Hacen que la entrada al parque sea casi imposible, la gente quiere venderte tours+entradas a precios disparatados afuera y te bloquean la carretera. Solo puedes comprar un boleto en línea (lo cual es muy estúpido, no entiendo por qué no venden los boletos en el parque y todo este sistema de estafas fuera del parque no estaría operativo). El problema es que los boletos están todos agotados porque los guías turísticos y los estafadores los compran todos 2 o 3 antes de la fecha y los revenden afuera. La única manera de poder entrar es comprando el tour porque no nos dejaron entrar.
Y luego está el proceso para entrar al parque; Es útil y completamente innecesario, todo lo de ""no botellas de plástico"" es ridículo porque cuando llegué a la playa vi dos botellas de plástico allí. Además, no es necesario que consigas un guía (no dejes que los estafadores te obliguen), solo trae binoculares y mira dónde se reúne la gente, la mayoría de ellos son amables y te dirán dónde buscar.",
Playa Manuel Antonio,"Had the perfect beach day here. Perfect weather, lots of shade, clear blue water, and the wildlife and scenery is unmatched.",5.0,parque,google_maps,en,"Tuve el día perfecto en la playa aquí. El clima perfecto, mucha sombra, agua azul clara y la vida silvestre y el paisaje son incomparables.",
